"","X","X.1","file","n","k","sigma","tss","rss","llh","Rsq","adj.Rsq","AIC","AICc","BIC","form","error","I","T","A","dAIC","dAICc","dBIC","wAIC","wAICc","wBIC","sigma_choice","Rsq_choice","adj.Rsq_choice","llh_choice","AIC_choice","AICc_choice","BIC_choice"
"86",2607,2607,"brit004.rwl",1750,175.37649012585,0.484267093379949,757.01126375281,410.166066410932,-1213.68474547053,0.45817706281202,0.398174667659117,2778.12247119276,2817.43592779136,3736.97081912438,"multiplicative","lnorm",FALSE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2
"87",2608,2608,"brit005.rwl",1319,200.278831426924,NA,738.249094298802,NA,NA,NA,NA,NA,NA,NA,"multiplicative","lnorm",TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2
"88",2608,2608,"brit005.rwl",1319,189.691575053959,0.439512938438866,738.249094298802,254.600199186709,-786.745690672243,0.65512968298521,0.597506697209656,1952.87453145241,2016.99278922972,2936.35500150203,"multiplicative","lnorm",FALSE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2
"89",2609,2609,"brit006.rwl",1846,190.621415994007,NA,880.103585476272,NA,NA,NA,NA,NA,NA,NA,"multiplicative","lnorm",TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2
"90",2609,2609,"brit006.rwl",1846,179.667870716311,0.499451934008269,880.103585476272,460.239372439587,-1337.28626754028,0.477062268539076,0.420991711322187,3033.90827651317,3072.89174541726,4025.81441970834,"multiplicative","lnorm",FALSE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2
"91",2610,2610,"brit007.rwl",2385,192.113712898283,NA,1217.98108109781,NA,NA,NA,NA,NA,NA,NA,"multiplicative","lnorm",TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2
"92",2610,2610,"brit007.rwl",2385,175.658901460466,0.588987744014996,1217.98108109781,827.0252452381,-2121.16888143785,0.320986788651368,0.267307571055818,4593.65556579664,4621.7596558616,5608.42903007146,"multiplicative","lnorm",FALSE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2
"93",2611,2611,"brit008.rwl",3114,346.594487736512,NA,833.328155667611,NA,NA,NA,NA,NA,NA,NA,"multiplicative","lnorm",TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2
"94",2611,2611,"brit008.rwl",3114,333.31997051215,0.456719062891787,833.328155667611,649.347837398446,-1977.67383756504,0.220777753659087,0.127652650741684,4621.98761615439,4702.16628530377,6636.4613065597,"multiplicative","lnorm",FALSE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2
"95",2612,2612,"brit009.rwl",1301,148.764728097931,NA,694.948374781768,NA,NA,NA,NA,NA,NA,NA,"multiplicative","lnorm",TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2
